Ready to Parse files17:30:54 - Loading in to memory
17:30:54 - Converting Items
17:59:44 - 299 Files saved
17:59:51 - 300 Files saved
17:59:59 - 301 Files saved
18:00:05 - 302 Files saved
18:00:13 - 303 Files saved
18:00:22 - 304 Files saved
18:00:29 - 305 Files saved
18:00:38 - 306 Files saved
18:00:45 - 307 Files saved
18:00:54 - 308 Files saved
18:01:03 - 309 Files saved
18:01:11 - 310 Files saved
18:01:20 - 311 Files saved
18:01:28 - 312 Files saved
18:01:36 - 313 Files saved
18:01:44 - 314 Files saved
18:01:54 - 315 Files saved
18:02:08 - 316 Files saved
18:02:08 - 317 Files saved
18:02:15 - 318 Files saved
18:02:24 - 319 Files saved
18:02:31 - 320 Files saved
18:02:40 - 321 Files saved
18:02:48 - 322 Files saved
18:02:56 - 323 Files saved
18:03:05 - 324 Files saved
18:03:12 - 325 Files saved
18:03:20 - 326 Files saved
18:03:36 - 327 Files saved
18:03:44 - 328 Files saved
18:03:51 - 329 Files saved
18:04:01 - 330 Files saved
18:04:09 - 331 Files saved
18:04:16 - 332 Files saved
18:04:23 - 333 Files saved
18:04:30 - 334 Files saved
18:04:39 - 335 Files saved
18:04:46 - 336 Files saved
18:04:53 - 337 Files saved
18:05:00 - 338 Files saved
18:05:08 - 339 Files saved
18:05:15 - 340 Files saved
18:05:23 - 341 Files saved
18:05:30 - 342 Files saved
18:05:39 - 343 Files saved
18:05:49 - 344 Files saved
18:05:58 - 345 Files saved
18:06:08 - 346 Files saved
18:06:15 - 347 Files saved
18:06:30 - 348 Files saved
18:06:37 - 349 Files saved
18:06:44 - 350 Files saved
18:06:51 - 351 Files saved
18:06:58 - 352 Files saved
18:07:07 - 353 Files saved
18:07:15 - 354 Files saved
18:07:22 - 355 Files saved
18:07:29 - 356 Files saved
18:07:37 - 357 Files saved
18:07:44 - 358 Files saved
18:07:51 - 359 Files saved
18:08:01 - 360 Files saved
18:08:09 - 361 Files saved
18:08:17 - 362 Files saved
18:08:25 - 363 Files saved
18:08:33 - 364 Files saved
18:08:41 - 365 Files saved
18:08:50 - 366 Files saved
18:08:57 - 367 Files saved
18:09:05 - 368 Files saved
18:09:13 - 369 Files saved
18:09:21 - 370 Files saved
18:09:29 - 371 Files saved
18:09:45 - 372 Files saved
18:09:55 - 373 Files saved
18:10:03 - 374 Files saved
18:10:10 - 375 Files saved
18:10:18 - 376 Files saved
18:10:28 - 377 Files saved
18:10:37 - 378 Files saved
18:10:45 - 379 Files saved
18:10:54 - 380 Files saved
18:11:03 - 381 Files saved
18:11:11 - 382 Files saved
18:11:19 - 383 Files saved
18:11:26 - 384 Files saved
18:11:34 - 385 Files saved
18:11:42 - 386 Files saved
18:11:49 - 387 Files saved
18:11:59 - 388 Files saved
18:12:09 - 389 Files saved
18:12:19 - 390 Files saved
18:12:29 - 391 Files saved
18:12:37 - 392 Files saved
18:12:45 - 393 Files saved
18:12:52 - 394 Files saved
18:13:05 - 395 Files saved
18:13:12 - 396 Files saved
18:13:20 - 397 Files saved
18:13:29 - 398 Files saved
18:13:37 - 399 Files saved
18:13:46 - 400 Files saved
18:13:54 - 401 Files saved
18:14:04 - 402 Files saved
18:14:12 - 403 Files saved
18:14:22 - 404 Files saved
18:14:31 - 405 Files saved
18:14:48 - 406 Files saved
18:14:48 - 407 Files saved
18:14:57 - 408 Files saved
18:15:08 - 409 Files saved
18:15:17 - 410 Files saved
18:15:26 - 411 Files saved
18:15:35 - 412 Files saved
18:15:46 - 413 Files saved
18:15:55 - 414 Files saved
18:16:03 - 415 Files saved
18:16:13 - 416 Files saved
18:16:22 - 417 Files saved
18:16:49 - 418 Files saved
18:16:58 - 419 Files saved
18:17:06 - 420 Files saved
18:17:16 - 421 Files saved
18:17:24 - 422 Files saved
18:17:31 - 423 Files saved
18:17:40 - 424 Files saved
18:17:48 - 425 Files saved
18:18:02 - 426 Files saved
18:18:10 - 427 Files saved
18:18:17 - 428 Files saved
18:18:25 - 429 Files saved
18:18:33 - 430 Files saved
18:18:43 - 431 Files saved
18:18:52 - 432 Files saved
18:19:01 - 433 Files saved
18:19:10 - 434 Files saved
18:19:18 - 435 Files saved
18:19:30 - 436 Files saved
18:19:39 - 437 Files saved
18:19:50 - 438 Files saved
18:19:58 - 439 Files saved
18:20:06 - 440 Files saved
18:20:16 - 441 Files saved
18:20:24 - 442 Files saved
18:20:34 - 443 Files saved
18:20:43 - 444 Files saved
18:20:53 - 445 Files saved
18:21:03 - 446 Files saved
18:21:11 - 447 Files saved
18:21:20 - 448 Files saved
18:21:28 - 449 Files saved
18:21:40 - 450 Files saved
18:21:48 - 451 Files saved
18:21:57 - 452 Files saved
18:22:06 - 453 Files saved
18:22:15 - 454 Files saved
18:22:23 - 455 Files saved
18:22:51 - 456 Files saved
18:23:11 - 457 Files saved
18:23:11 - 458 Files saved
18:23:21 - 459 Files saved
18:23:31 - 460 Files saved
18:23:40 - 461 Files saved
18:23:49 - 462 Files saved
18:24:01 - 463 Files saved
18:24:12 - 464 Files saved
18:24:21 - 465 Files saved
18:24:31 - 466 Files saved
18:24:39 - 467 Files saved
18:24:49 - 468 Files saved
18:24:58 - 469 Files saved
18:25:07 - 470 Files saved
18:25:16 - 471 Files saved
18:25:25 - 472 Files saved
18:25:34 - 473 Files saved
18:25:47 - 474 Files saved
18:25:57 - 475 Files saved
18:26:32 - 476 Files saved
18:26:32 - 477 Files saved
18:26:41 - 478 Files saved
18:26:51 - 479 Files saved
18:27:02 - 480 Files saved
18:27:11 - 481 Files saved
18:27:23 - 482 Files saved
18:27:32 - 483 Files saved
18:27:42 - 484 Files saved
18:27:53 - 485 Files saved
18:28:02 - 486 Files saved
18:28:14 - 487 Files saved
18:28:23 - 488 Files saved
18:28:32 - 489 Files saved
18:28:41 - 490 Files saved
18:28:50 - 491 Files saved
18:29:00 - 492 Files saved
18:29:09 - 493 Files saved
18:29:17 - 494 Files saved
18:29:47 - 495 Files saved
18:29:57 - 496 Files saved
18:30:07 - 497 Files saved
18:30:16 - 498 Files saved
18:30:27 - 499 Files saved
18:30:38 - 500 Files saved
18:30:46 - 501 Files saved
18:31:05 - 502 Files saved
18:31:05 - 503 Files saved
18:31:14 - 504 Files saved
18:31:23 - 505 Files saved
18:31:33 - 506 Files saved
18:31:43 - 507 Files saved
18:32:11 - 508 Files saved
18:32:22 - 509 Files saved
18:32:33 - 510 Files saved
18:32:42 - 511 Files saved
18:32:51 - 512 Files saved
18:33:01 - 513 Files saved
18:33:10 - 514 Files saved
18:33:19 - 515 Files saved
18:33:48 - 516 Files saved
18:33:58 - 517 Files saved
18:34:08 - 518 Files saved
18:34:20 - 519 Files saved
18:34:58 - 520 Files saved
18:36:01 - 521 Files saved
18:37:50 - 522 Files saved
18:38:53 - 523 Files saved
18:39:20 - 524 Files saved
18:39:30 - 525 Files saved
18:39:39 - 526 Files saved
18:39:50 - 527 Files saved
18:39:58 - 528 Files saved
18:40:44 - 529 Files saved
18:42:50 - 530 Files saved
18:43:09 - 531 Files saved
18:43:19 - 532 Files saved
18:43:31 - 533 Files saved
18:43:41 - 534 Files saved
18:43:52 - 535 Files saved
18:46:23 - 536 Files saved
18:46:34 - 537 Files saved
18:47:57 - 538 Files saved
18:49:48 - 539 Files saved
18:50:52 - 540 Files saved
18:53:44 - 541 Files saved
18:54:46 - 542 Files saved
18:55:21 - 543 Files saved
18:55:32 - 544 Files saved
18:55:42 - 545 Files saved
18:55:52 - 546 Files saved
19:02:39 - 547 Files saved
19:07:33 - 548 Files saved
19:08:35 - 549 Files saved
19:08:44 - 550 Files saved
19:12:49 - 551 Files saved
19:14:18 - 552 Files saved
19:14:44 - 553 Files saved
19:15:19 - 554 Files saved
19:15:55 - 555 Files saved
19:16:03 - 556 Files saved
19:16:17 - 557 Files saved
19:18:21 - 558 Files saved
19:18:31 - 559 Files saved
19:21:14 - 560 Files saved
19:23:27 - 561 Files saved
19:26:46 - 562 Files saved
19:30:32 - 563 Files saved
19:30:42 - 564 Files saved
19:33:32 - 565 Files saved
19:33:58 - 566 Files saved
19:36:13 - 567 Files saved
19:37:07 - 568 Files saved
19:37:34 - 569 Files saved
19:37:44 - 570 Files saved
19:37:54 - 571 Files saved
19:38:14 - 572 Files saved
19:41:50 - 573 Files saved
19:45:19 - 574 Files saved
19:45:28 - 575 Files saved
19:45:56 - 576 Files saved
19:46:08 - 577 Files saved
19:46:45 - 578 Files saved
19:47:57 - 579 Files saved
19:51:01 - 580 Files saved
19:58:29 - 581 Files saved
20:00:11 - 582 Files saved
